Hedysarum xizangensis	西藏岩黄芪
Malurus callainus	青绿细尾鹩莺
Dimeria guangxiensis	广西觿茅
Rhynchostracion rhinorhinchus	突吻尖鼻箱鲀
Crocidura attila	喀麦隆麝鼩
Aotus azarae	阿氏夜猴
Microtus pennsylvanicus	草原田鼠
Rhododendron lepidotum	鳞腺杜鹃
Chromis analis	长臂光鳃鱼;长臀光鳃鱼
Thryothorus modestus	纯色苇鹪鹩
Aphanotophryne pansa	合犁匿蛙
Linum amurense	黑水亚麻
Drassodes saitoi	斋腾掠蛛
Pteroceltis tatarinowii	青檀
Dictyosquilla foveolate	窝纹虾蛄
Cyrtomium retrosopaleaceum	鳞毛贯众
Lysimachia decurrens	延叶珍珠菜
Davallia formosana	大叶骨碎补
Craspedoglossa stejnegeri	施丹缘舌蟾
Travisiopsis dubia	无瘤蚕
Cassia multijuga	密叶决明
Ourebia ourebi	侏羚
Belbolla stenocephalum	狭头多管球线虫
Eleutherodactylus alticola Lynn	山栖卵齿蟾
Pseudodaphnella stipata	白拟桂螺
Rhododendron hypoglaucum	粉白杜鹃
Echinops integrifolius	全缘叶蓝刺头
Coladenia agni	绵羊窗弄蝶
Tetrapterus albidus Poey	白色四鳍旗鱼
Sinocyclocheilus longibarbatus	长须金线魮
Agathia laetata	简艳青尺蛾
Lysimachia fordiana	大叶过路黄
Entada pursaetha subsp. sinohimalensis	云南榼藤子
Viburnum omeiense	峨眉荚蒾
Dysoxylum arborescens	兰屿樫木
Hydrangea mangshanensis	莽山绣球
Cholebia gouldiae	七彩文鸟
Apristurus longicephalus	长头光尾鲨
Dictyosphaeria versluysii	实刺网球藻
Myiarchus crinitus	大冠蝇霸鹟
Rosa soulieana var. sungpanensis	大叶川滇蔷薇
Crenichthys baileyi	泉鳉
Pimoa lihengae	李恒派模蛛
Pisoodonophis rubicandus	红色豆齿鳗
Sympycnus luteoviridis	浅绿合长足虻
Perca schrenki Kessler	伊犁鲈
Cophixalus rostellifer	鼻掘蛙
Deutzia muliensis	木里溲疏
Ravenelia indigoferae-scabridae	腺毛木蓝伞锈菌
Dryopteris carthusiana	刺叶鳞毛蕨
Dromas ardeola	蟹鸻
Epinephelus diacanthus	双棘石斑鱼
Astragalus coluteocarpus	边陲黄耆
Mayermys ellermani	单齿鼩形鼠
Chiromantes haematocheir	红螯螳臂相手蟹
Corispermum elongatum	长穗虫实
Oxytropis lehmanni	等瓣棘豆
Ixora effusa	散花龙船花
Sarcocheilichthys lacustris	东北鳈
Ditrichum pusillum	细叶牛毛藓
Eleutherodactylus cochranae	科克伦卵齿蟾
Echimys saturnus	厄瓜多尔树棘鼠
Gastrochilus rantabunensis	合欢盆距兰
Frullania sinosphaerantha	平萼耳叶苔
Barbus barotseensis	巴罗士魮
Puccinia poarum	早熟禾柄锈菌
Begonia glechomifolia	金秀秋海棠
Acrossocheilus wuyiensis	武夷光唇鱼
Janczewskia ramiformis	菜花藻
Otonycteris hemprichi	白胸尖耳蝠
Corydalis muliensis	木里黄堇
Physalaemus henselii	享赛尔泡蟾
Syrrhophus verrucipes Cope	疣足岩蟾
Torodora lirata	纹瘤祝蛾
Mycetia glandulosa	腺萼木
Helicophagus typus Bleeker	螺鲇
Walckenaeria nodosa	结瓦蛛
Datnioides quadrifasciatus	淡水松鲷
Hyla luteiventris	金腹雨蛙
Riopa albopunctata Gray	白点侏蜥
Melasmothrix naso	长吻小鼩鼠
Hydrangea heteromalla	微绒绣球
Zosterops maderaspatanus	马斯绣眼鸟
Fimbristylis dipsacea	起绒飘拂草
Kozlowia roborowskii (Przevalski,)	藏雀
Agalenatea redii	雷氏柔蛛
Arthroleptis procterae Witte	普罗节蛙
Caridina typus	典型米虾
Digitaria violascens	紫马唐
Heliotropium pseudoindicum	拟大尾摇
Helictotrichon abietetorum	冷杉异燕麦
Wikstroemia trichotoma var. flavianthera	黄药白花荛花
Pedicularis dolichantha	修花马先蒿
Achalinus ater	青脊蛇
Temnopleurus apodus	无足刻肋海胆
Philautus laevis	滑皮小树蛙
Anthophora hansenii	汉森条蜂
Kassina argyreivittis Peters	银纹肛褶蛙
Rana perpalmata Witte	全掌蛙
Microphis fluviatilis	河川腹囊海龙
Choniognathus reini	赖氏合颚蟹
Parnassia chinensis var. sechuanensis	四川梅花草
Puccinia juncelli	水莎草柄锈菌
Glyptosternum reticulatum McClelland	网纹原鮡
Hercostomus dui	杜氏寡长足虻
Goodyera bilamellata	长叶斑叶兰
Hypsipetes mcclellandiiHorsfield	绿翅短脚鹎
Heteropsis perspicua	沼泽沃眼蝶
Anemone laceratoincisa	锐裂银莲花
Xeromys myoides	伪沼鼠
Arachniodes henryi	云南复叶耳蕨
Malakichthys griseus Doderlein	灰软鱼
Acipenser baeri	钝吻鲟;西伯利亚鲟
Puccinia tsinlingensis	秦岭柄锈菌
Satyrium nepalense	鸟足兰
Parapristipoma trilineatus	三线矶鲈
Odontites vulgaris	疗齿草
Caranx sexfasciatus	六带鲹
Nectoneanthes donghaiensis	东海全刺沙蚕
Nemachilus longus	长条鳅
Micropolypodium cornigerum	叉毛锯蕨
Lygodactylus lawrencei Hewitt	劳氏柳趾虎
Quercus guyavifolia	帽斗栎
Chrysosplenium davidianum	锈毛金牌
Corydalis scaberula	紫花粗糙黄堇;粗糙黄堇;分枝粗糙黄堇
Lindernia tenuifolia	细叶母草
Pellorneum palustre	沼泽幽鹛
Ampelocalamus yongshanensis	永善悬竹
Orchis brevicalcarata	短距红门兰
Microtoena subspicata var. intermedia	中间近穗状冠唇花
Rhododendron dasycladoides	漏斗杜鹃
Leptomischus parviflorus	小花报春茜
Caranx mate	游鳍叶鲹
Dodona eugenes subsp. formosana	银纹尾蚬蝶台北亚种
Indigofera suffruticosa	野青树
Hyssopus officinalis	神香草
Machaeropterus regulus	条纹侏儒鸟
Metrioptera bonneti	邦内特姬螽
Ulota macrocarpa	大蒴卷叶藓
Saxifraga implicans	藏东虎耳草
Gangara lebadea subsp. lebadea	尖翅椰弄蝶指名亚种
Doryrhamphus negrosensis negrosensis	双棘矛吻海龙
Sterna superciliaris	黄嘴燕鸥
Dysosma tsayuensis	西藏八角莲
Carex autumnalis	秋生薹草
Pipra vilasboasi	金冠侏儒鸟
Eria vittata	条纹毛兰
Ventojassa ventosa	风老叶钩虾
Philautus williamsi Taylor	维廉小树蛙
Hemidactylus laticaudatus	偏尾蜥虎
Trisopterus esmarkii	挪威长臀鳕
Spizella pallida	泥色雀鹀
Hypopterygium tenellum	南亚孔雀藓
Eptesicus demissus	翼足棕蝠;南泰棕蝠
Polygonum coriaceum	革叶蓼
Hyla a.japonica Guenther	雨蛙日本亚种
Lepidozonates viciniolus	鳞带祝蛾
Diospyros hainanensis	海南柿
Ilex kobuskiana	凸脉冬青
Polihierax insignis	缅甸侏隼
Puccinia undulitunicata	波壁柄锈菌
Saussurea bracteata	膜苞雪莲
Radula onraedtii	南亚扁萼苔
Cervus albirostris	白唇鹿
Aphareus rutilans	莠色叉尾鲷;锈色细齿笛鲷
Typhlogobius californiensis	盲鰕虎鱼
Varicorhinus leleupanus	李利突吻鱼
Leposoma scincoides	鳞蜥
Aphalacrosoma crypsusm	隐准白长足虻
Salmo pallaryi	帕氏鳟
Rissa tridactyla subsp. pollocaris	三趾鸥
Hyperolius langi	兰氏非洲树蛙
Pathysa antiphates	绿凤蝶
Potamogeton obtusifolius	钝叶眼子菜
Agrostophyllum callosum	禾叶兰
Indigofera esquirolii	黔南木蓝
Macrosphenus  pulitzeri	普里氏长嘴莺
Pentarhizidium intermedium	中华东方荚果蕨
Nebris microps Cuvier et Valenciennes	软颅石首鱼
Elaeagnus viridis	绿叶胡颓子
Irenomys tarsalis	智利鼠
Paraixeris serotina	尖裂黄瓜菜
Photinia berberidifolia	小檗叶石楠
Seulocia vittata	带纹化玉蟹
Aerodramus fuciphaga	爪哇金丝燕
Perodicticus potto	树熊猴
Frullania schensiana	陕西耳叶苔
Aplodinotus grunniens	淡水石首鱼
Chalcoscirtus nigritus	黑铜蛛
Bitis arietans =Bitis lachesis	 
Wikstroemia reginaldi-farreri	甘肃荛花
Geranium thunbergii	中日老鹳草
Populus nigra var. italica	钻天杨
Paphiopedilum x sinovillosum	中华紫毛兜兰
Hyperolius lamottei	拉姆非洲树蛙
Boulengerina annulata	水眼镜蛇
Treron curvirostra	厚嘴绿鸠
Carex duriuscula var. tenuispica	细穗寸草
Taraxacum suavissimum	甜蒲公英
Parathelypteris beddomei	长根金星蕨
Yamamotozephyrus kwangtungensis	虎灰蝶
Episinus punctisparsus	斑丘腹蛛
Acanthis cannabina	朱胸朱顶雀
Grammatobothus polyophthalmus	三斑双线鲆
Spiraea laeta var. subpubescens	毛叶华西绣线菊
Salix crenata	锯齿叶垫柳
Ziziphus oenopolia	小果枣
Asarum himalaicum	单叶细辛
Abutilon roseum	红花苘麻
Populus manshurica	热河杨
Tabernaemontana corymbosa	伞房狗牙花
Lychnis coronata	剪春罗
Saxifraga subaequifoliata var. striata	横纹虎耳草
Ficus benguetensis	黄果榕
Saxifraga prattii	康定虎耳草;毛茎虎耳草
Hypselobarbus kurali	库氏高须魮
Acrocephalus orinus	巨嘴苇莺
Apus unicolor	平原雨燕;纯色雨燕
Bolbitis heteroclita	长叶实蕨
Sitta magna subsp. ligea	巨䴓
Gouania leptostachya var. tonkiensis	越南咀签
Loxostigma glabrifolium	光叶紫花苣苔
Pycnonotus sinensis subsp. sinensis	白头鹎
Dendrolimus punctata subsp. wenshanensis	文山松毛虫
Antennarius commersonii	康氏躄鱼
Cellaria punctata	斑胞苔虫
Camptostoma imberbe	无须小霸鹟
Penaeus monodon	斑节对虾
Luscinia pectardens (David et Oustalet,)	金胸歌鸲
Batrachium eradicatum	小水毛茛
Carex ligulata	舌叶薹草
Salix paraplesia f. lanceolata	狭叶康定柳
Ristella beddomii	四指蜥
Pempheris oualensis	黑边单鳍鱼
Rubus pirifolius var. permollis	柔毛梨叶悬钩子
Berchemiella wilsonii var. pubipetiolata	毛柄小勾儿茶
Carex magnoutriculata	大果囊薹草
Cerasus glandulosa	重瓣麦李;麦李
Crocidura sicula	短剑麝鼩
Pomatorhinus ruficollis subsp. musicus	棕颈钩嘴鹛
Anisodus tanguticus	山莨菪
Itea tenuinervia	细脉鼠刺
Stefania scalae	凿芬蛙
Oplismenus undulatifolius	求米草;光叶求米草;狭叶求米草;日本求米草;小叶求米草;双穗求米草
Pteropus brunneus	棕狐蝠
Primula russeola	黑萼报春
Merremia hungaiensis	线叶山土瓜;山土瓜
Microtus gregalis subsp. angustus	河北亚种
Laubuca caeruleostigmata	眼点元宝鳊
Nepalomyia yangi	杨氏跗距长足虻
Vanilla siamensis	大香荚兰
Beaufortia szechuanensis	四川爬岩鳅
Prioniturus leuconensis	绿盘尾鹦鹉
Eumops glaucinus	银白真蝠;蓝灰獒面蝠
Sinopodophyllum hexandrum	桃儿七
Bryconamericus microcephalus	小头啮脂鲤
Mimetus caudatus	尾突拟态蛛
Pachygnatha quadrimaculata	四斑粗螯蛛
Cyclosunetta concinna	巧环楔形蛤
Smilax munita	劲直菝葜
Saussurea aerjingensis	阿尔金风毛菊
Rosa gallica	法国蔷薇
Clausenia purpurea	粉蚧蓝绿跳小蜂
Phalacrosoma imperfectum	缺白长足虻
Liotia asterisus	条棒方格螺
Levisquilla inermis	无刺光虾蛄
Saguinus niger	黑柽柳猴
Leptophis mexicanus	墨西哥大眼蛇
Niltava vivida	棕腹蓝仙鹟
Hyophila involuta	卷叶湿地藓
Mammea yunnanensis	格脉树
Caecilia bokermanni	布克真蚓
Leptasthenura fuliginiceps	褐顶针尾雀
Veronica piroliformis	鹿蹄草婆婆纳
Paradavallodes chingiae	秦氏假钻毛蕨
Agama melanura	黑尾鬣蜥
Pseudocyclosorus duclouxii	苍山假毛蕨
Heteropsis houlbertiana	猴沃眼蝶
Argyreia acuta	白鹤藤
Pamphorichthys scalpridens	刀形贼胎鳉
Staphylea bumalda	省沽油
Cercotrichas coryphaeus	南非薮鸲
Plantago fengdouensis	丰都车前
Psammophis subtaeniatus Peters	纹腹花条蛇
Chalceus erythrurus	红铜大鳞脂鲤
Carex wahuensis	布氏宿柱薹
Tetractenos glaber	裸四梳鲀
Berberis jiulongensis	九龙小檗
Sedum obtusipetalum	钝瓣景天
Carex stramentitia	草黄薹草
Fritillaria unibracteata	长腺贝母;暗紫贝母
Pseudorasbora pumila Miyadi	大麦穗鱼
Ziba aglais	美丽笔螺
Allium xiangchengense	乡城韭
Jurinea adenocarpa	腺果苓菊
Cyclobalanopsis morii	台湾青冈
Sageretia omeiensis	峨眉雀梅藤
Poropuntius hampaloides	似头孔无须魮
Ternstroemia hainanensis	海南厚皮香
Lecanthus petelotii var. yunnanensis	云南假楼梯草
Carpodacus eos (Stresemann,)	曙红朱雀
Vespicula sinensis	中华蜂鲉;中华高鳍鲉
Akebia quinata	木通
Bromus epilis	光稃雀麦
Bolitoglossa chica	小游舌螈
Microphysogobio chengsiensis	嵊县小鳔鮈
Corydalis incisa	刻叶紫堇
Loeseneriella concinna	程香仔树
Carex humida	湿薹草
Ptychobela suturalis	线缝摺塔螺
Lacerta muralis	壁蜥蝪
Arundinella hirta var. hondana	毛杆野古草
Orthotrichum leiolecythis	球蒴木灵藓
Pulsatrix koeniswaldiana	茶眉眼镜鸮
Flemingia stricta	长叶千斤拔
Foulehaio carunculata	肉垂吸蜜鸟
Tephroseris changii	莲座狗舌草
Tamarix gracilis	翠枝柽柳
Kerilia jerdonii Gray	截吻海蛇
Carex shuangbaiensis	双柏薹草
Heteropsis antahala	隐斑昏眼蝶
Kaempferia candida	白花山柰
Diphya qianica	黔双胜蛛
Nandayus nenday	黑头巾鹦哥
Acrobrycon ipanquianus	秘鲁磨牙脂鲤
Labeobarbus aeneus	小口魮
Zingiber yunnanense	云南姜
Idiurus zenkeri	喀麦隆鳞尾松鼠
Acacia decurrens	线叶金合欢
Pittosporum planilobum	扁片海桐
Stachyris maculata	红腰穗鹛
Rana s.moellendorffi	
Barbula longicostata	长肋扭口藓
Puntius dunckeri	邓氏无须魮
Puntius flavifuscus	黄棕无须魮
Mauritia mauritiana	绥贝
Arthroleptis schebeni	谢氏节蛙
Aspidopterys obcordata	倒心盾翅藤;海南盾翅藤
Begonia porteri	罗甸秋海棠
Lichmera flavicans	维埃氏岩吸蜜鸟
Gentiana aristata	刺芒龙胆
Nesophontes longirostris	长鼻岛鼯
Mahathala ameria hainani	玛灰蝶;凹翅紫灰蝶
Strix uralensis subsp. yenisseensis	长尾林鸮
Berberis beaniana	康松小檗
Fagus hayatae	台湾水青冈
Pseudocystopteris atkinsonii	大叶假冷蕨
Macroptilium lathyroides	大翼豆
Amblystegium varium	多姿柳叶藓
Epimedium flavum	天全淫羊藿
Hemsleya macrocarpa	大果雪胆
Platea latifolia	阔叶肖榄
Maxates subtaminata	污尖尾尺蛾
Hemidactylus puccionii	索桑蜥虎
Hyalolaena bupleuroides	柴胡状斑膜芹
Typhlops thurstoni	舒氏盲蛇
Rapala suffusa	点染燕灰蝶
Phelsuma madagascariensis	马加残趾虎
Anastrophyllum michauxii	密叶挺叶苔
Quisquilius hipoliti	锈红斜颌鰕虎鱼
Charadrius melanops	黑额鸻
Hyla euphorbiacea	大戟雨蛙
Priacanthus tayenus	长尾大眼鲷
Eria szetschuanica	马齿毛兰
Staurois granulosus	棘皮湍蛙
Luscinia akahige	(日本)歌鸲
Pycnonotus priocephalus	灰头鹎
Lithocarpus carolineae	红心柯
Locustella luscinioidesSavi	鸲蝗莺
Coregonus duplex	乌鳍白鲑
Urocystis puccinelliae	碱茅条黑粉菌
Chamaeleo anchietae Bocage	中非避役
Barbarea taiwaniana	台湾山芥
Curculigo glabrescens	光叶仙茅
Pelopidas conjunctus conjunctus	古铜谷弄蝶;巨褐弄蝶;台湾大褐弄蝶
Neolitsea sutchuanensis	四川新木姜子
Saccella confusa	凸小囊蛤
Meandrusa payeni	钩凤蝶
Salix kangensis var. leiocarpa	光果江界柳
Stachys baicalensis var. angustifolia	毛水苏狭叶变种
Gastrochilus fargesii	城口盆距兰
Polystichum longissimum	长叶耳蕨
Genus Subcancilla interlirata	间笔螺
Cosmotriche monotona	蓝灰小枯叶蛾;丽江小枯叶蛾
Eurya groffii var. zhenkangensis	镇康柃
Hippolytia gossypina	棉毛女蒿
Pycnonotus finlaysoniStrickland	纹喉鹎
Silene lineariloba	线瓣蝇子草
Delphinium dolichocentroides	基苞翠雀花;拟长距翠雀花
Gastropacha quercifolia subsp. lucens	赤李褐枯叶蛾
Pingasa pseudoterpnaria	小灰粉尺蛾
Trochocercus albicauda	白尾蓝凤头鹟
Abelbolla warwicki	瓦氏无管球线虫
Phenacogaster retropinnus	弯翼平腹脂鲤
Surendra vivarna	酥灰蝶
Hedysarum inundatum	湿地岩黄耆
Rana utricularia Harlan	囊孔蛙
Sitta leucopsisGould	白脸鳾
Marsdenia longipes	百灵草
Hasora anura	无尾绒(毛)弄蝶;无趾弄蝶
Primula exscapa	无葶脆蒴报春
Cynops e.ensicauda	
Felis bieti	漠猫;荒漠猫
Seminatrix pygaea	北美游蛇
Rhapis gracilis	细棕竹
Ussuriana takarana	藏宝赭灰蝶
Scutellaria sieversii	宽苞黄芩
Tateomys rhinogradoides	塔特鼠
Cimicifuga foetida	毛叶升麻;长苞升麻;两裂升麻;多小叶升麻;升麻
Oxytropis taochensis	洮河棘豆
Zingiber xishuangbannaense	版纳姜
Swertia wolfgangiana	华北獐牙菜
Gmelina hainanensis	苦梓
Trapa natans	欧菱
Rhododendron rex subsp. fictolacteum	假乳黄叶杜鹃
Pilodius flavus	黄色毛壳蟹
Planaltina britskii	布氏游脂鲤
Humata griffithiana	杯盖阴石蕨
Heterophasia auricularis	白耳画眉;白耳奇鹛
Oberonia gigantea	橙黄鸢尾兰
Phascogale calura	红帚尾袋鼩
Rubus spinulosoides	刺毛白叶莓
Eptesicus kobayashii	考氏棕蝠
Aloe vera	芦荟
Sagina japonica	漆姑草
Listera morrisonicola	浅裂对叶兰
Christia hainanensis	海南蝙蝠草
Cayratia japonica var. pseudotrifolia	尖叶乌蔹莓
Petrosum petrosum	坚星螺
Aporia agathon subsp. ssp	完善绢粉蝶四川亚种
Phryma leptostachya subsp. asiatica	透骨草
Homaliadelphus sharpii var. rotundata	拟扁枝藓圆叶变种
Tortula yunnanensis	云南墙藓
Dipoena sinica	中华圆腹蛛
Citrus reticulata cv. Tangerina	福橘
Gardneria ovata	卵叶蓬莱葛
Begonia fangii	方氏秋海棠
Automolus melanopezus	褐腰拾叶雀
Clematis siamensis var. monantha	单蕊锡金铁线莲
Sedum semilunatum	月座景天
Allomyrina davidis	叉犀金龟
Pisum sativum	豌豆
Dipsacus azureus	天蓝续断
Heteropappus semiprostratus	半卧狗娃花
Veronicastrum stenostachyum subsp. nanchuanense	南川腹水草
Lycodon atropurpureus	紫黑白环蛇
Thalictrum uncatum	狭翅钩柱唐松草;钩柱唐松草
Cynanchum glaucescens	白前
Hyperolius f.fusciventris	
Tydemania japonica Kamohara	截尾倒棘鲀
Batis mixta	喷背鹟
Lepisosteus spatula	鳄雀鳝
Ophiorrhiza liukiuensis	小花蛇根草
Rubus yuliensis	玉里悬钩子
Dicranella austro-sinensis	华南小曲尾藓
Leymus secalinus	纤细赖草;赖草;青海赖草;短毛叶赖草
Hymenocephalus lethonemus	刺吻膜头鳕
Olea parvilimba	小叶木犀榄
Olea tetragonoclada	方枝木犀榄
Mallotus millietii var. atrichus	光叶贵州野桐
Paraplectana sakaguchii	坂口瓢蛛
Euploea tulliola subsp. mariesis	妒丽紫斑蝶华中亚种
Mesocyprinus yilongensis	异龙中鲤
Liparis seidenfadeniana	管花羊耳蒜
Sphaerotheca balsaminae	凤仙花单囊壳
Fabronia schensiana	陕西碎米藓
Parus monticolus	绿背山雀
Actinopyga lecanora	子安辐肛参
Glycyrrhiza uralensis	甘草
Klais guimeti	紫头蜂鸟
Calantica trispinosa	三齿盔茗荷
Phrynocephalus haecheli Bedriaga	塔城沙蜥
Tongoloa gracilis	纤细东俄芹
Turdus boulboul subsp. yaoschanensis	灰翅鸫
Rhodeus fangi	方氏鳑鲏
Eulalia yunnanensis	云南金茅
Schistochila minor	小歧舌苔
Combretum punctatum var. squamosum	水密花
Eucyclodes sanguilineata	镶边彩青尺蛾
Callicarpa longifolia	披针叶紫珠;长叶紫珠;白毛长叶紫珠
Erigone koshiensis	锯胸微蛛
Gentiana divaricata	叉枝龙胆
Circaea mollis	南方露珠草
Turdus chrysolaus	赤腹鸫;赤胸鸫;红腹鸫
Araneus daozhenensis	道真园蛛
Lutjanus altifrontails	高额笛鲷
Ducula galeata	马克萨斯皇鸠
Phrynobatrachus guineensis	几内亚蟾蛙
Micropechis ikaheka	小伊蛇
Barbus serra	锯鳍魮
Gallicolumba beccarii	灰喉鸡鸠
Cephalanthera gracilis	纤细头蕊兰
Eminta lepida	灰顶莺
Angelica likiangensis	丽江当归
Colias adelaidae subsp. karmalana	阿豆粉蝶西藏亚种
Mycalesis gotama subsp. oculata	稻眉眼蝶大陆亚种
Bassaricyon alleni	秘鲁犬浣熊
Cornus coreana	朝鲜梾木
Neophema chrysogaster	橙腹鹦鹉
Actinidia callosa var. discolor	异色猕猴桃
Aristolochia polymorpha	多型马兜铃
Ajuga ciliata	筋骨草陕甘变种;筋骨草长毛变种;筋骨草;筋骨草微毛变种;筋骨草卵齿变种
Pedicularis smithiana	史氏马先蒿
Coptis omeiensis	峨眉黄连
Sphaerodactylus molei	特立尼达球趾虎
Ceratostylis hainanensis	牛角兰
Arenaria rockii	紫红无心菜
Tachyoryctes spalacinus	高山鼹鼠
Barbus rohani	罗汉魮
Mahonia japonica	台湾十大功劳
Parasalenia gratiosa	偏海胆
Hyla p.infucata Duellmann	猫样雨蛙染色亚种
Aratinga cactorum	仙人掌鹦哥
Rhabdocoma riemanni	瑞氏杆线虫
Micrurus ephippifer	特万特佩克珊瑚蛇
Neptis miah	弥环蛱蝶
Callicebus oenanthe	安第斯伶猴
Argyrodes argentatus	雪银斑蛛
Barilius pulchellus	丽色低线鱲
Hemigrammus rhodostomus	红吻半线脂鲤
Anthus rufulus subsp. rufulus	东方田鹨
Athyrium hirtirachis	毛轴蹄盖蕨
Mimus longicaudatus	长尾小嘲鸫
Limonium sinense var. spinulosum	刺突补血草
Trichosanthes smilacifolia	菝葜叶栝楼
Barbus nyanzae	奈氏魮
Phelsuma abbotti	阿尔达布拉残趾虎
Leptodermis buxifolia	雅江野丁香;黄杨叶野丁香
Juniperus squamata	高山柏
Conanalus pieli	比尔锥尾螽
Otus bakkamoena	领角鸮
Monarda didyma	美国薄荷
Streblus asper	鹊肾树
Lanius isabellinusHemprich	棕尾伯劳
Esomus altus	阿尔特斯氏长须鿕
Lithocarpus tenuilimbus	薄叶柯
Vesicularia flaccida	柔软明叶藓
Aster flaccidus f. gracilis	纤细柔软紫菀
Clematis armandii var. farquhariana	大花小木通
Leptocypris guineensis	几内亚瘦波鱼
Polytrichum sphaerothecium	球蒴金发藓
Leptotheca macrospora	大孢薄壳虫
Praslinia coperi Boulenger	库氏条蚓
Atlapetes gutturalis	黄喉薮雀
Crotalaria psoralioides	黄雀儿
Cyclobalanopsis chapensis	扁果青冈
Elaeagnus griffithii var. multiflora	那坡胡颓子
Rhaphidophora sichuanensis	四川驼螽
